number,value,params_embedding_model,params_hdbscan_cluster_selection,params_hdbscan_epsilon,params_hdbscan_metric,params_hdbscan_min_cluster_size,params_hdbscan_min_samples,params_max_df_fraction,params_min_df_fraction,params_umap_metric,params_umap_min_dist,params_umap_n_components,params_umap_n_neighbors,params_vectorizer_max_features,params_vectorizer_ngram_max,state
10,0.40586346457545525,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.11456702682248653,manhattan,46,23,0.706469759902083,0.03554188024853727,euclidean,0.12515293858610588,30,27,590,2,COMPLETE
11,0.4808683900851085,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.013796662571090839,euclidean,9,1,0.7525133410015616,0.07742709315814802,cosine,0.23667345437202386,30,16,997,2,COMPLETE
12,0.5095989989458551,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.0020126027433163248,manhattan,16,1,0.7735539391805083,0.0555195009206996,cosine,0.22293035019542667,23,30,975,2,COMPLETE
13,0.5026489214964625,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.174760833306322,manhattan,14,1,0.7641672096189348,0.053177154210462145,euclidean,0.20089470703621717,22,30,500,2,COMPLETE
14,0.4829399879810994,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.20955231227916088,manhattan,10,1,0.7797335704450665,0.05472579434160744,cosine,0.1648495751230739,18,30,480,2,COMPLETE
15,0.507024999913995,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.1845498600478084,manhattan,15,2,0.7132269520702658,0.07888666543820004,euclidean,0.10553594135483074,14,30,663,2,COMPLETE
16,0.43392601520078855,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.23648813023416457,manhattan,45,18,0.7122815410569616,0.07725226217701245,euclidean,0.09159026695622491,14,28,986,2,COMPLETE
17,0.5070903299671179,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.10509640014813441,manhattan,38,7,0.7330324482417843,0.07129805445657149,cosine,0.0442041206466649,16,28,699,2,COMPLETE
18,0.43821723814198627,intfloat/multilingual-e5-small,leaf,0.09285835870401403,manhattan,39,7,0.7345050589564327,0.059489039259805546,cosine,0.0059854231748243045,18,27,896,2,COMPLETE
19,0.49219958203291586,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.13018211063197374,manhattan,39,13,0.7824801065498689,0.04142538012915101,cosine,0.051272470223253624,19,28,704,2,COMPLETE
20,0.4557412158173133,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.07079447066800434,manhattan,38,10,0.7287379874494574,0.07010740197729874,cosine,0.29571385668616373,25,26,647,1,COMPLETE
21,0.5152821795767863,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.15932972456702238,manhattan,15,2,0.7271653441367875,0.07173891025712065,cosine,0.11741867502114171,14,29,661,2,COMPLETE
22,0.5093339937780008,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.14761882956629846,manhattan,17,2,0.7339643375384008,0.07091455555964475,cosine,0.05317716334169441,11,29,904,2,COMPLETE
23,0.5160562069963562,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.1547547608172527,manhattan,17,2,0.7925958566000195,0.05845957736495878,cosine,0.09657669843461397,11,29,904,2,COMPLETE
24,0.5142181635656087,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.2387843412547144,manhattan,12,2,0.7916814257201947,0.05689729247267581,cosine,0.15052261422451396,10,26,921,2,COMPLETE
25,0.44963531332392853,intfloat/multilingual-e5-small,leaf,0.23469784321946965,manhattan,11,2,0.8006094343475354,0.06217493893399522,cosine,0.14235650115020654,10,26,896,2,COMPLETE
26,0.517350833146063,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.24959617899587172,manhattan,25,4,0.8536141934596775,0.04520195472143917,cosine,0.09145329636360129,13,25,774,2,COMPLETE
27,0.520595236278844,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.26542682266770673,manhattan,25,4,0.8445740259199428,0.04627312613038606,cosine,0.0892038676124407,14,21,768,2,COMPLETE
28,0.5041935278645533,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.2610872748715211,manhattan,26,5,0.8552012756029835,0.043064839480463336,cosine,0.08318798546237462,16,21,768,2,COMPLETE
29,0.4793140444095563,intfloat/multilingual-e5-small,leaf,0.26312912666793303,manhattan,27,4,0.8475637842766451,0.028836570522091563,cosine,0.07498942698467292,5,24,813,1,COMPLETE
30,0.5161779713697132,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.2166960737536847,manhattan,20,4,0.8792513205440248,0.04813188295950921,cosine,0.03188641576453802,8,22,570,2,COMPLETE
31,0.5153845481551547,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.29829057801042513,manhattan,27,4,0.8387033282779236,0.04882186529995467,cosine,0.021197650674837032,8,22,568,2,COMPLETE
32,0.5155088015421152,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.21062958756399783,manhattan,20,3,0.876708686478643,0.04052459744221631,cosine,0.04308322357982929,12,20,516,2,COMPLETE
33,0.514605054278953,paraphrase-multilingual-MiniLM-L12-v2,leaf,0.2572312280842108,manhattan,18,5,0.8695215980707257,0.04589952044214907,cosine,0.09293868811983734,12,24,863,2,COMPLETE
34,0.49254153950136537,paraphrase-multilingual-MiniLM-L12-v2,eom,0.22416475770014355,manhattan,34,6,0.8815718256454699,0.05047056303014784,cosine,0.17298880092758773,2,22,750,2,COMPLETE
35,0.5530948034579538,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2903535519807916,euclidean,24,4,0.8868684134606993,0.035794599304171996,cosine,0.029082480900231123,13,22,621,2,COMPLETE
36,0.4662450278606003,sentence-transformers/distiluse-base-multilingual-cased-v2,eom,0.2771106108380107,euclidean,24,4,0.8898272535060302,0.03688416094652095,cosine,0.3958273534941283,13,22,449,2,COMPLETE
37,0.5340614231613268,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2949523639430169,euclidean,33,10,0.8680662541982134,0.030269231883167276,cosine,0.027606444691135584,8,20,544,2,COMPLETE
38,0.5200901761341877,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2997657383591732,euclidean,33,10,0.8639316849306498,0.028917617362041213,cosine,0.005331304738986867,4,20,625,1,COMPLETE
39,0.48140388867059736,sentence-transformers/distiluse-base-multilingual-cased-v2,eom,0.2997791489396572,euclidean,33,10,0.9130174797549581,0.024927964689618665,cosine,0.00040390203292720375,4,19,622,1,COMPLETE
40,0.4410817813653132,intfloat/multilingual-e5-small,eom,0.27786932894561217,euclidean,29,9,0.867563100829212,0.019980523006739002,cosine,0.06547644090334608,6,20,544,1,COMPLETE
41,0.5272673671253325,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2876951438860509,euclidean,30,11,0.8621900379669738,0.03177833795076826,cosine,0.026738548690658264,16,21,709,1,COMPLETE
42,0.5121160602409707,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2873897264800637,euclidean,36,12,0.8914414439223213,0.031016296856530255,cosine,0.020601137826615566,16,21,713,1,COMPLETE
43,0.4790852764884035,paraphrase-multilingual-MiniLM-L12-v2,eom,0.27397684956662316,euclidean,32,11,0.8391653254923234,0.033407694872312634,cosine,0.026647951314656918,2,18,610,1,COMPLETE
44,0.5237565916110194,paraphrase-multilingual-MiniLM-L12-v2,eom,0.28838264956353893,euclidean,28,9,0.8618467390373229,0.021371702300089966,cosine,0.06855336990992496,4,20,635,1,COMPLETE
45,0.4732445214174116,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2825337385189207,euclidean,29,9,0.8234081823562732,0.011004291225124726,cosine,0.07011485435784692,9,19,445,1,COMPLETE
46,0.53003564996649,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2672016579280032,euclidean,22,8,0.9168940847108629,0.02155384556215276,euclidean,0.03905992031643275,7,23,226,1,COMPLETE
47,0.5161058761400001,sentence-transformers/distiluse-base-multilingual-cased-v2,eom,0.24505885116539572,euclidean,22,9,0.9116578765036588,0.02076489104359275,euclidean,0.03412856338276044,7,23,242,1,COMPLETE
48,0.4922631091161479,paraphrase-multilingual-MiniLM-L12-v2,eom,0.29063688519279013,euclidean,30,8,0.9196969180031732,0.023975227606624114,euclidean,0.06423997338987875,4,18,305,1,COMPLETE
49,0.5165366877987678,paraphrase-multilingual-MiniLM-L12-v2,eom,0.26698122231353344,euclidean,22,8,0.9001471503079296,0.013765179593955595,euclidean,0.052153861140614405,6,23,200,1,COMPLETE
50,0.44797398399842253,intfloat/multilingual-e5-small,eom,0.2870293799824558,euclidean,36,15,0.8896982620273298,0.005708895828226649,euclidean,0.01877263529609021,8,21,354,1,COMPLETE
51,0.45801429627984647,paraphrase-multilingual-MiniLM-L12-v2,eom,0.25371956672186,euclidean,28,11,0.8612140787746616,0.033357639004664846,euclidean,0.11187954800087262,18,19,734,1,COMPLETE
52,0.4557484747096332,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2732137362275322,euclidean,24,6,0.844275053363894,0.03908510191567888,euclidean,0.13176625855383048,15,21,811,1,COMPLETE
53,0.5245812195402195,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2619330454753398,euclidean,31,11,0.8735650299328925,0.02139428325955795,cosine,0.03639535720869092,3,20,691,1,COMPLETE
54,0.4812513595806662,paraphrase-multilingual-MiniLM-L12-v2,eom,0.22697224280124498,euclidean,35,12,0.8750487436658594,0.016078609830964995,cosine,0.036421921405757625,3,20,700,1,COMPLETE
55,0.4599790442759396,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2875259747554794,euclidean,31,11,0.8970815888114647,0.02199428166314822,euclidean,0.05611990487806018,5,17,665,1,COMPLETE
56,0.49720331315627897,paraphrase-multilingual-MiniLM-L12-v2,eom,0.19889928761738476,euclidean,43,15,0.8869717316276219,0.027345993716927426,cosine,0.013151915402907614,3,20,582,1,COMPLETE
57,0.4637228457630106,sentence-transformers/distiluse-base-multilingual-cased-v2,eom,0.24865890848446243,euclidean,28,10,0.9056494286786396,0.018228202653550435,cosine,0.07467983765984545,20,22,641,1,COMPLETE
58,0.441191381303303,paraphrase-multilingual-MiniLM-L12-v2,eom,0.27122225530393185,euclidean,31,12,0.8601614605598265,0.030930644362505005,euclidean,0.03352556024261077,7,23,675,1,COMPLETE
59,0.43786304426920325,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2909752739434664,euclidean,50,14,0.8271654044956677,0.023841735654659125,cosine,0.26172427092182915,3,19,537,1,COMPLETE
60,0.5279234677696424,paraphrase-multilingual-MiniLM-L12-v2,eom,0.04915985755599639,euclidean,23,9,0.8697785117460002,0.013622498460271765,cosine,0.04558086394769,6,18,345,1,COMPLETE
61,0.5038802917048496,paraphrase-multilingual-MiniLM-L12-v2,eom,0.28145668205205493,euclidean,21,9,0.869640016381219,0.012677179420338353,cosine,0.05058414659146056,6,18,346,1,COMPLETE
62,0.5087218220294769,paraphrase-multilingual-MiniLM-L12-v2,eom,0.04321166712451127,euclidean,23,7,0.8819759277912961,0.0218444836722599,cosine,0.012343962345669854,9,17,277,1,COMPLETE
63,0.5092277237857379,paraphrase-multilingual-MiniLM-L12-v2,eom,0.12647892359390495,euclidean,26,8,0.8545592131996907,0.016145604753737518,cosine,0.04493078931776179,5,20,202,1,COMPLETE
64,0.4664664503126767,paraphrase-multilingual-MiniLM-L12-v2,eom,0.07887567128919148,euclidean,30,11,0.8967197354308019,0.00911607334668719,cosine,0.07927096841857689,7,17,409,1,COMPLETE
65,0.530287276281008,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2573186877339681,euclidean,26,10,0.8734496269983074,0.01822852378126403,cosine,0.03510455800083399,10,16,245,1,COMPLETE
66,0.526442089344688,paraphrase-multilingual-MiniLM-L12-v2,eom,0.029291832140804497,euclidean,26,10,0.9099140890899586,0.018267226924862538,cosine,0.001187430933782381,10,16,236,1,COMPLETE
67,0.4741001674284042,paraphrase-multilingual-MiniLM-L12-v2,eom,0.014418281275296325,euclidean,19,8,0.908791018395462,0.017482617341364914,cosine,0.34092481677786324,10,16,323,1,COMPLETE
68,0.4581695367059408,intfloat/multilingual-e5-small,eom,0.03246845559559647,euclidean,25,10,0.9173585330425319,0.014401056624694736,cosine,0.002456787610243892,11,16,242,1,COMPLETE
69,0.4614797802244932,paraphrase-multilingual-MiniLM-L12-v2,eom,0.028123410901840524,euclidean,23,10,0.9047856809102225,0.026503671870083012,euclidean,0.20110395494468802,17,16,245,1,COMPLETE
70,0.48171601048681206,paraphrase-multilingual-MiniLM-L12-v2,eom,0.04991957833483149,euclidean,26,7,0.8849472420465933,0.037520026939208743,cosine,0.02557773070460447,13,17,360,1,COMPLETE
71,0.5068291741745945,paraphrase-multilingual-MiniLM-L12-v2,eom,0.2634513115982754,euclidean,27,11,0.875448584383373,0.034172998322573714,cosine,0.040376227097449466,9,18,264,1,COMPLETE
72,0.4998206354577204,paraphrase-multilingual-MiniLM-L12-v2,eom,0.058484463677516266,euclidean,32,13,0.8944981900565037,0.030784047205623884,cosine,0.01611228922317317,11,16,298,1,COMPLETE
73,0.514520528214117,paraphrase-multilingual-MiniLM-L12-v2,eom,0.07257572598678409,euclidean,21,9,0.8734799429087463,0.019135763365226537,cosine,0.05618009655750447,10,22,232,1,COMPLETE
74,0.5546214377618139,paraphrase-multilingual-MiniLM-L12-v2,eom,0.020067764402674035,euclidean,23,10,0.8489289426991244,0.011925027171506335,cosine,0.029597966948221324,8,17,218,1,COMPLETE
75,0.572182280950597,paraphrase-multilingual-MiniLM-L12-v2,eom,0.01661742978863196,euclidean,23,10,0.8334810384348624,0.010508936351638383,cosine,0.02553282242376911,8,17,219,1,COMPLETE
76,0.5173515967412234,sentence-transformers/distiluse-base-multilingual-cased-v2,eom,0.022082788108669236,euclidean,23,10,0.8341993374402193,0.005583281859638634,cosine,0.023899912418032708,8,17,210,1,COMPLETE
77,0.4788974127655164,paraphrase-multilingual-MiniLM-L12-v2,eom,0.012627240134186063,euclidean,19,3,0.8127539207978824,0.009410059843448915,cosine,0.10493836393074882,15,18,264,1,COMPLETE
78,0.484313073743173,paraphrase-multilingual-MiniLM-L12-v2,eom,0.012192342371319774,euclidean,21,9,0.8485276654775997,0.011103328792851664,cosine,0.04421643146659706,12,23,323,2,COMPLETE
79,0.47422804784477957,paraphrase-multilingual-MiniLM-L12-v2,eom,0.04201902021460404,euclidean,24,10,0.8516295302691014,0.014934925819234394,cosine,0.0570709409209005,9,17,284,1,COMPLETE
